total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
1,1.7446265014569138,0.412472647702407,2.368217328643799,0.1094,1764425621.090782
2,1.9849480492061795,0.3486766398158803,2.331263247680664,0.11,1764425644.739614
3,1.8978565773427092,0.3140964995269631,2.3100240394592286,0.1255,1764425662.24637
4,1.7142485862748629,0.4923413566739606,2.304702605819702,0.1078,1764425679.6700978
5,1.733332231255794,0.4076415612974162,2.291970195388794,0.1165,1764425698.718406
6,1.924405150775668,0.37284234752589185,2.280735369873047,0.1185,1764425716.179102
7,1.6399330317563832,0.38269419862340215,2.2751640968322753,0.1237,1764425732.3521972
8,1.894536739040797,0.3249763481551561,2.266703045654297,0.1501,1764425754.8888729
9,1.893154691740914,0.3544197737746125,2.2626552146911623,0.1632,1764425771.581354
10,1.9471923602695118,0.2991755070117738,2.254728421020508,0.1771,1764425792.5578508
11,1.9716565235142967,0.32457734315124087,2.249634278869629,0.1806,1764425809.870453
12,1.898192667714197,0.40218642117376296,2.2467433406829835,0.1795,1764425827.158452
13,1.763755536433474,0.4294078387045306,2.2432070938110353,0.1776,1764425842.180165
14,1.9031667696115613,0.3053132434575734,2.235167694091797,0.1775,1764425860.374683
15,1.803818161237206,0.34531693472090824,2.231260269546509,0.1751,1764425873.4521751
16,1.9216625479677572,0.2917485265225933,2.22344974861145,0.1718,1764425886.224671
17,1.8267251928052912,0.39758342922899886,2.2186681198120115,0.167,1764425903.145768
18,1.5616909863546737,0.5339667458432305,2.2130957416534422,0.1769,1764425915.708103
19,1.8353107308320447,0.317208564631245,2.20470299949646,0.1799,1764425931.384346
20,1.3845665808318741,0.5612691466083151,2.213897933959961,0.1743,1764425944.833174
21,1.4801690709238817,0.43486286919831224,2.20378141746521,0.1768,1764425962.704931
22,1.8090239571208098,0.3947065592635213,2.194696077346802,0.1824,1764425980.763783
23,1.5647603108027768,0.5315914489311164,2.1919719245910643,0.1876,1764425998.5470872
24,1.296780132621331,0.6017505470459519,2.216628486633301,0.183,1764426020.955103
25,1.623360225326778,0.3907571288102262,2.214792697906494,0.1839,1764426038.69444
26,1.8072248584793407,0.41657077100115075,2.195527380371094,0.1925,1764426055.502901
27,1.5097202990230643,0.523040380047506,2.1871316776275633,0.2021,1764426067.1216269
28,1.4239494321406467,0.5172094424286071,2.178490797805786,0.2011,1764426084.006732
29,1.24391794074286,0.6061269146608315,2.205321139526367,0.1982,1764426107.01501
30,1.5343056556131127,0.5406758448060075,2.19823875579834,0.1937,1764426124.6990101
31,1.7048325294319395,0.41872791519434627,2.1843069869995118,0.1888,1764426142.87073
32,1.2244353432624033,0.5864332603938731,2.2185565982818605,0.1882,1764426157.8487139
33,1.5507644666075215,0.41316872427983536,2.211139622116089,0.1909,1764426174.726603
34,1.5550392815407286,0.5431789737171464,2.213588581085205,0.185,1764426189.6228359
35,1.5286413662544283,0.4496308016877637,2.191658871459961,0.1912,1764426207.2996259
36,1.6481179748744088,0.4297703180212014,2.1750472316741942,0.1923,1764426223.545527
37,1.8324734155185283,0.3262305310302711,2.118425845336914,0.1966,1764426244.390432
